CODI,Castellà,Català,Tipus de contracte
03000000-1,"Productos de la agricultura, ganadería, pesca, silvicultura y productos afines","Productes de l'agricultura, la ramaderia, la pesca, la silvicultura i productes afins",Subministraments
03100000-2,Productos de la agricultura y horticultura,Productes de l'agricultura i l'horticultura,Subministraments
03110000-5,"Cultivos, productos comerciales de jardinería y horticultura",Cultius i productes comercials de jardineria i horticultura,Subministraments
03111000-2,Semillas,Llavors,Subministraments
03111100-3,Soja,Soia,Subministraments
03111200-4,Cacahuetes,Cacauets,Subministraments
03111300-5,Semillas de girasol,Llavors de gira-sol,Subministraments
03111400-6,Semillas de algodón,Llavors de cotó,Subministraments
03111500-7,Semillas de sésamo,Llavors de sèsam,Subministraments
03111600-8,Semillas de mostaza,Llavors de mostassa,Subministraments
03111700-9,Semillas de hortalizas,Llavors d'hortalisses,Subministraments
03111800-0,Semillas de frutos,Llavors de fruits,Subministraments
03111900-1,Semillas de flores,Llavors de flors,Subministraments
03112000-9,Tabaco sin elaborar,Tabac no manufacturat,Subministraments
03113000-6,Plantas utilizadas para la fabricación de azúcar,Plantes utilitzades per a la fabricació de sucre,Subministraments
03113100-7,Remolacha azucarera,Remolatxa sucrera,Subministraments
03113200-8,Caña de azúcar,Canya de sucre,Subministraments
03114000-3,Paja y plantas forrajeras,Palla i plantes farratgeres,Subministraments
03114100-4,Paja,Palla,Subministraments
03114200-5,Plantas forrajeras,Plantes farratgeres,Subministraments
03115000-0,Materias vegetales en bruto,Matèries primeres vegetals,Subministraments
03115100-1,Materias vegetales en bruto utilizadas en la fabricación de textiles,Matèries primeres vegetals utilitzades en la fabricació de tèxtils,Subministraments
03115110-4,Algodón,Cotó,Subministraments
03115120-7,Yute,Jute,Subministraments
03115130-0,Lino,Lli,Subministraments
03116000-7,Caucho y látex naturales y productos afines,"Cautxú i làtex naturals, i productes afins",Subministraments
03116100-8,Caucho natural,Cautxú natural,Subministraments
03116200-9,Látex natural,Làtex natural,Subministraments
03116300-0,Productos de látex,Productes de làtex,Subministraments
03117000-4,Plantas utilizadas para usos específicos,Plantes utilitzades per a usos específics,Subministraments
